GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
1500000US360010003004,360010003004,"Block Group 4, Census Tract 3, Albany County, New York",496,304,0,12,93,102,93,146,72,78,136,146,0,12,0,12,15,25,11,18,41,54,35,54,0,12
1500000US360010004011,360010004011,"Block Group 1, Census Tract 4.01, Albany County, New York",811,121,14,15,45,39,151,67,254,98,125,54,73,53,79,56,0,12,0,12,64,42,6,9,0,12
1500000US360010004031,360010004031,"Block Group 1, Census Tract 4.03, Albany County, New York",469,148,0,12,104,68,80,59,127,82,38,36,29,33,79,67,0,12,12,20,0,12,0,12,0,12
1500000US360010004032,360010004032,"Block Group 2, Census Tract 4.03, Albany County, New York",817,257,0,12,208,153,133,87,175,110,81,77,46,53,115,116,19,30,0,12,7,13,0,12,33,50
1500000US360010004033,360010004033,"Block Group 3, Census Tract 4.03, Albany County, New York",557,214,35,42,27,42,214,143,187,148,21,32,0,12,0,12,17,28,36,52,20,31,0,12,0,12
1500000US360010004034,360010004034,"Block Group 4, Census Tract 4.03, Albany County, New York",472,141,14,23,44,39,149,95,139,104,69,68,12,22,12,21,17,27,0,12,0,12,0,12,16,25
1500000US360010004041,360010004041,"Block Group 1, Census Tract 4.04, Albany County, New York",943,172,35,32,286,98,275,97,58,39,125,77,16,17,61,49,66,49,0,12,4,8,0,12,17,22
1500000US360010005011,360010005011,"Block Group 1, Census Tract 5.01, Albany County, New York",546,178,0,12,41,64,104,90,62,58,241,146,29,33,36,44,0,12,0,12,0,12,32,50,1,2
1500000US360010005012,360010005012,"Block Group 2, Census Tract 5.01, Albany County, New York",219,109,0,12,31,38,65,55,23,30,54,60,21,24,11,17,14,21,0,12,0,12,0,12,0,12
1500000US360010005013,360010005013,"Block Group 3, Census Tract 5.01, Albany County, New York",303,135,0,12,10,17,65,51,118,92,33,33,0,12,11,16,11,18,0,12,32,35,0,12,23,36
1500000US360010005014,360010005014,"Block Group 4, Census Tract 5.01, Albany County, New York",507,318,0,12,82,69,142,108,61,45,156,171,17,19,20,30,14,22,0,12,15,23,0,12,0,12
1500000US360010005021,360010005021,"Block Group 1, Census Tract 5.02, Albany County, New York",430,107,25,34,46,35,173,70,69,50,19,27,7,10,34,28,15,18,11,16,4,8,21,26,6,12
1500000US360010005022,360010005022,"Block Group 2, Census Tract 5.02, Albany County, New York",948,177,0,12,99,56,286,118,173,79,127,55,12,20,171,81,25,36,8,15,6,12,21,27,20,21
1500000US360010006001,360010006001,"Block Group 1, Census Tract 6, Albany County, New York",115,77,0,12,15,23,47,51,45,44,0,12,0,12,0,12,0,12,0,12,0,12,8,17,0,12
1500000US360010006002,360010006002,"Block Group 2, Census Tract 6, Albany County, New York",430,152,0,12,72,67,27,36,118,94,101,74,0,12,86,62,0,12,0,12,10,18,16,30,0,12
1500000US360010006003,360010006003,"Block Group 3, Census Tract 6, Albany County, New York",1106,341,64,59,206,201,109,75,260,142,221,110,52,63,136,87,0,12,24,37,34,56,0,12,0,12
1500000US360010007001,360010007001,"Block Group 1, Census Tract 7, Albany County, New York",445,130,58,56,19,27,142,87,145,79,21,23,0,12,32,32,0,12,18,22,0,12,10,11,0,12
1500000US360010007002,360010007002,"Block Group 2, Census Tract 7, Albany County, New York",129,84,0,12,0,12,40,41,35,43,28,34,0,12,6,14,0,12,6,10,14,21,0,12,0,12
1500000US360010007003,360010007003,"Block Group 3, Census Tract 7, Albany County, New York",339,116,0,12,60,48,10,16,146,85,27,32,0,12,79,50,0,12,0,12,17,27,0,12,0,12
1500000US360010007004,360010007004,"Block Group 4, Census Tract 7, Albany County, New York",245,109,0,12,36,37,71,70,16,27,28,33,0,12,75,78,0,12,0,12,0,12,19,22,0,12
1500000US360010008001,360010008001,"Block Group 1, Census Tract 8, Albany County, New York",47,52,0,12,0,12,25,31,0,12,11,16,0,12,11,41,0,12,0,12,0,12,0,12,0,12
1500000US360010008002,360010008002,"Block Group 2, Census Tract 8, Albany County, New York",300,94,0,12,37,38,40,37,56,44,25,29,23,24,50,55,18,28,0,12,51,56,0,12,0,12
1500000US360010008003,360010008003,"Block Group 3, Census Tract 8, Albany County, New York",181,116,0,12,37,45,9,16,35,45,17,27,23,37,42,50,10,15,0,12,0,12,8,17,0,12
1500000US360010011001,360010011001,"Block Group 1, Census Tract 11, Albany County, New York",299,101,0,12,61,41,54,46,37,41,30,32,7,14,16,19,31,32,0,12,13,22,43,52,7,14
1500000US360010014001,360010014001,"Block Group 1, Census Tract 14, Albany County, New York",1308,405,199,164,121,82,343,179,282,155,177,137,61,59,109,82,0,12,16,25,0,12,0,12,0,12
1500000US360010014002,360010014002,"Block Group 2, Census Tract 14, Albany County, New York",639,214,19,31,86,75,109,88,210,89,166,138,33,37,0,12,0,12,16,25,0,12,0,12,0,12
1500000US360010014003,360010014003,"Block Group 3, Census Tract 14, Albany County, New York",161,110,0,12,0,12,0,12,20,35,40,50,21,32,0,12,0,12,60,75,0,12,0,12,20,36
1500000US360010015001,360010015001,"Block Group 1, Census Tract 15, Albany County, New York",806,268,15,24,29,33,312,225,143,88,110,98,13,21,143,147,14,23,14,22,0,12,13,20,0,12
1500000US360010015002,360010015002,"Block Group 2, Census Tract 15, Albany County, New York",671,330,0,12,68,90,66,57,202,149,51,44,48,47,222,271,0,12,0,12,0,12,14,22,0,12
1500000US360010015003,360010015003,"Block Group 3, Census Tract 15, Albany County, New York",311,135,0,12,60,62,33,39,110,99,70,61,38,39,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360010015004,360010015004,"Block Group 4, Census Tract 15, Albany County, New York",584,288,0,12,53,47,55,69,246,191,72,69,113,103,45,48,0,12,0,12,0,12,0,12,0,12
1500000US360010016001,360010016001,"Block Group 1, Census Tract 16, Albany County, New York",519,224,0,12,75,43,105,63,61,47,142,126,84,78,41,48,0,12,11,17,0,12,0,12,0,12
1500000US360010016002,360010016002,"Block Group 2, Census Tract 16, Albany County, New York",401,179,0,12,39,32,34,28,69,46,143,84,28,26,69,94,0,12,0,12,12,18,7,13,0,12
1500000US360010016003,360010016003,"Block Group 3, Census Tract 16, Albany County, New York",507,134,37,42,32,35,126,71,193,79,86,40,0,12,33,30,0,12,0,12,0,12,0,12,0,12
1500000US360010016004,360010016004,"Block Group 4, Census Tract 16, Albany County, New York",560,152,0,12,61,45,117,60,289,138,38,30,12,18,17,19,9,15,0,12,0,12,0,12,17,20
1500000US360010017001,360010017001,"Block Group 1, Census Tract 17, Albany County, New York",555,176,0,12,45,41,202,98,155,82,62,37,8,14,62,45,9,16,0,12,12,20,0,12,0,12
1500000US360010017002,360010017002,"Block Group 2, Census Tract 17, Albany County, New York",1190,313,11,16,224,138,307,150,297,175,121,74,109,98,96,75,0,12,0,12,0,12,25,42,0,12
1500000US360010017003,360010017003,"Block Group 3, Census Tract 17, Albany County, New York",778,281,0,12,145,118,108,75,231,205,174,87,39,35,61,41,0,12,14,23,6,11,0,12,0,12
1500000US360010017004,360010017004,"Block Group 4, Census Tract 17, Albany County, New York",378,97,7,12,46,37,105,67,59,44,62,49,11,17,44,58,24,22,0,12,0,12,20,25,0,12
1500000US360010018011,360010018011,"Block Group 1, Census Tract 18.01, Albany County, New York",361,104,23,36,0,12,198,83,37,36,44,42,0,12,19,31,13,22,15,20,0,12,12,19,0,12
1500000US360010018012,360010018012,"Block Group 2, Census Tract 18.01, Albany County, New York",935,213,0,12,205,141,291,95,294,105,61,58,15,26,48,53,0,12,11,17,10,17,0,12,0,12
1500000US360010018013,360010018013,"Block Group 3, Census Tract 18.01, Albany County, New York",836,227,0,12,145,93,91,59,259,132,220,110,19,27,34,41,11,17,47,48,0,12,0,12,10,18
1500000US360010018014,360010018014,"Block Group 4, Census Tract 18.01, Albany County, New York",568,193,0,12,57,42,151,111,178,83,119,72,11,17,29,36,0,12,0,12,10,21,13,20,0,12
1500000US360010018015,360010018015,"Block Group 5, Census Tract 18.01, Albany County, New York",966,210,13,21,133,72,194,91,371,181,129,73,65,48,44,43,9,15,0,12,8,14,0,12,0,12
1500000US360010018021,360010018021,"Block Group 1, Census Tract 18.02, Albany County, New York",686,204,0,12,72,59,226,108,171,115,104,70,39,58,51,48,16,24,0,12,0,12,7,13,0,12
1500000US360010018022,360010018022,"Block Group 2, Census Tract 18.02, Albany County, New York",813,190,49,76,68,46,219,103,227,100,72,47,13,20,86,65,10,16,0,12,32,31,19,29,18,20
1500000US360010018023,360010018023,"Block Group 3, Census Tract 18.02, Albany County, New York",334,144,15,24,45,35,107,62,64,45,73,63,0,12,0,12,0,12,11,16,0,12,19,30,0,12
1500000US360010018024,360010018024,"Block Group 4, Census Tract 18.02, Albany County, New York",448,134,0,12,95,73,79,44,140,81,84,66,30,36,7,11,13,22,0,12,0,12,0,12,0,12
1500000US360010019011,360010019011,"Block Group 1, Census Tract 19.01, Albany County, New York",353,100,0,12,45,39,107,56,76,51,70,49,0,12,18,19,12,18,0,12,9,14,16,25,0,12
1500000US360010019012,360010019012,"Block Group 2, Census Tract 19.01, Albany County, New York",464,213,22,26,0,12,140,97,62,35,90,63,89,119,0,12,14,22,0,12,0,12,47,75,0,12
1500000US360010019013,360010019013,"Block Group 3, Census Tract 19.01, Albany County, New York",736,138,23,33,60,38,231,87,132,79,140,61,71,40,13,19,0,12,0,12,9,14,31,38,26,30
1500000US360010019021,360010019021,"Block Group 1, Census Tract 19.02, Albany County, New York",502,119,0,12,75,53,189,68,23,24,70,43,41,39,70,62,0,12,9,15,17,26,8,12,0,12
1500000US360010019022,360010019022,"Block Group 2, Census Tract 19.02, Albany County, New York",461,178,0,12,40,37,136,81,103,65,7,11,28,26,137,83,0,12,0,12,0,12,0,12,10,16
1500000US360010019023,360010019023,"Block Group 3, Census Tract 19.02, Albany County, New York",456,127,10,19,61,61,99,65,89,65,67,38,76,55,36,35,10,15,8,14,0,12,0,12,0,12
1500000US360010020001,360010020001,"Block Group 1, Census Tract 20, Albany County, New York",952,280,50,68,285,170,177,107,138,65,132,113,0,12,15,24,55,89,21,33,12,20,67,98,0,12
1500000US360010020002,360010020002,"Block Group 2, Census Tract 20, Albany County, New York",662,261,63,68,0,12,54,76,32,48,104,92,67,84,241,150,0,12,0,12,0,12,53,82,48,58
1500000US360010020003,360010020003,"Block Group 3, Census Tract 20, Albany County, New York",446,250,19,37,159,154,58,69,127,129,83,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360010020004,360010020004,"Block Group 4, Census Tract 20, Albany County, New York",511,269,22,34,76,58,122,131,145,94,115,116,0,12,31,52,0,12,0,12,0,12,0,12,0,12
1500000US360010020005,360010020005,"Block Group 5, Census Tract 20, Albany County, New York",686,276,40,66,61,54,225,160,173,104,38,58,26,34,32,48,46,55,0,12,30,49,15,24,0,12
1500000US360010021001,360010021001,"Block Group 1, Census Tract 21, Albany County, New York",613,195,44,52,108,77,140,81,132,84,48,45,0,12,55,54,0,12,14,26,52,65,13,22,7,14
1500000US360010021002,360010021002,"Block Group 2, Census Tract 21, Albany County, New York",266,148,0,12,71,60,70,56,53,55,13,21,0,12,0,12,7,15,42,56,0,12,10,15,0,12
1500000US360010021003,360010021003,"Block Group 3, Census Tract 21, Albany County, New York",266,125,0,12,27,20,119,95,46,48,19,34,19,22,18,20,0,12,0,12,18,23,0,12,0,12
1500000US360010022001,360010022001,"Block Group 1, Census Tract 22, Albany County, New York",634,178,5,8,126,68,113,57,236,112,39,40,29,36,80,57,6,9,0,12,0,12,0,12,0,12
1500000US360010022002,360010022002,"Block Group 2, Census Tract 22, Albany County, New York",491,168,14,25,116,60,203,128,48,37,17,26,16,25,29,29,31,39,9,14,0,12,8,12,0,12
1500000US360010023001,360010023001,"Block Group 1, Census Tract 23, Albany County, New York",302,101,0,12,57,53,92,69,70,54,26,23,9,16,48,53,0,12,0,12,0,12,0,12,0,12
1500000US360010023002,360010023002,"Block Group 2, Census Tract 23, Albany County, New York",543,171,16,19,73,68,89,60,155,93,132,120,0,12,13,20,0,12,0,12,65,55,0,12,0,12
1500000US360010025001,360010025001,"Block Group 1, Census Tract 25, Albany County, New York",302,112,0,12,14,22,10,17,64,64,46,35,51,52,62,54,0,12,13,18,13,22,29,32,0,12
1500000US360010025002,360010025002,"Block Group 2, Census Tract 25, Albany County, New York",111,53,0,12,0,12,26,24,29,33,32,40,24,25,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360010025003,360010025003,"Block Group 3, Census Tract 25, Albany County, New York",268,117,0,12,0,12,36,43,69,46,38,59,9,15,88,70,0,12,0,12,9,14,19,31,0,12
1500000US360010025004,360010025004,"Block Group 4, Census Tract 25, Albany County, New York",178,154,0,12,5,14,18,29,29,42,33,42,21,33,36,57,0,12,0,12,8,13,28,45,0,12
1500000US360010025005,360010025005,"Block Group 5, Census Tract 25, Albany County, New York",108,57,0,12,0,12,13,16,42,32,8,14,0,12,45,40,0,12,0,12,0,12,0,12,0,12
1500000US360010026001,360010026001,"Block Group 1, Census Tract 26, Albany County, New York",877,236,92,88,111,88,146,101,176,103,46,55,65,67,64,73,0,12,32,55,62,56,34,50,49,75
1500000US360010026002,360010026002,"Block Group 2, Census Tract 26, Albany County, New York",303,197,0,12,37,48,0,12,15,26,26,44,0,12,180,179,32,47,13,22,0,12,0,12,0,12
1500000US360010026003,360010026003,"Block Group 3, Census Tract 26, Albany County, New York",547,239,0,12,191,128,90,89,68,65,93,85,39,41,57,68,0,12,9,18,0,12,0,12,0,12
1500000US360010026004,360010026004,"Block Group 4, Census Tract 26, Albany County, New York",535,254,0,12,20,32,251,138,76,77,23,36,34,51,47,54,14,25,0,12,56,66,14,22,0,12
1500000US360010127001,360010127001,"Block Group 1, Census Tract 127, Albany County, New York",618,156,12,18,50,52,75,69,90,63,115,64,126,88,136,90,0,12,14,25,0,12,0,12,0,12
1500000US360010127002,360010127002,"Block Group 2, Census Tract 127, Albany County, New York",350,104,0,12,16,25,21,23,44,37,144,74,60,41,34,31,0,12,15,18,16,18,0,12,0,12
1500000US360010127003,360010127003,"Block Group 3, Census Tract 127, Albany County, New York",308,98,11,17,48,46,8,13,66,39,65,49,9,15,53,45,10,17,0,12,21,22,0,12,17,25
1500000US360010128001,360010128001,"Block Group 1, Census Tract 128, Albany County, New York",208,77,8,13,55,54,40,28,47,34,48,34,0,12,0,12,0,12,0,12,9,13,1,3,0,12
1500000US360010128002,360010128002,"Block Group 2, Census Tract 128, Albany County, New York",452,140,9,14,80,59,38,28,151,92,78,44,16,18,50,39,0,12,9,14,9,14,12,20,0,12
1500000US360010128003,360010128003,"Block Group 3, Census Tract 128, Albany County, New York",487,176,15,17,0,12,82,66,143,81,102,76,19,21,96,55,0,12,30,29,0,12,0,12,0,12
1500000US360010128004,360010128004,"Block Group 4, Census Tract 128, Albany County, New York",406,151,38,38,60,70,92,71,102,63,37,34,0,12,11,13,0,12,0,12,66,55,0,12,0,12
1500000US360010129001,360010129001,"Block Group 1, Census Tract 129, Albany County, New York",540,163,0,12,0,12,41,35,117,65,204,100,15,21,119,70,0,12,9,14,28,24,7,13,0,12
1500000US360010129002,360010129002,"Block Group 2, Census Tract 129, Albany County, New York",137,65,0,12,0,12,6,11,88,50,17,20,0,12,18,20,0,12,0,12,0,12,8,12,0,12
1500000US360010129003,360010129003,"Block Group 3, Census Tract 129, Albany County, New York",150,74,0,12,8,13,26,41,69,62,16,16,8,12,7,12,0,12,9,14,0,12,0,12,7,12
1500000US360010129004,360010129004,"Block Group 4, Census Tract 129, Albany County, New York",368,129,7,10,16,20,16,18,72,56,92,61,28,30,43,33,0,12,36,58,33,40,25,36,0,12
1500000US360010130001,360010130001,"Block Group 1, Census Tract 130, Albany County, New York",402,143,18,28,43,32,73,59,91,59,96,68,14,21,24,28,0,12,0,12,43,50,0,12,0,12
1500000US360010130002,360010130002,"Block Group 2, Census Tract 130, Albany County, New York",1238,265,55,46,165,74,180,120,236,130,282,140,201,103,119,105,0,12,0,12,0,12,0,12,0,12
1500000US360010130003,360010130003,"Block Group 3, Census Tract 130, Albany County, New York",620,220,12,19,33,31,108,84,88,93,201,105,47,61,97,97,18,29,16,26,0,12,0,12,0,12
1500000US360010130004,360010130004,"Block Group 4, Census Tract 130, Albany County, New York",736,258,18,28,49,43,106,75,236,195,129,93,88,84,56,42,0,12,0,12,10,15,31,51,13,21
1500000US360010130005,360010130005,"Block Group 5, Census Tract 130, Albany County, New York",712,277,0,12,192,112,58,58,136,112,137,116,69,84,66,39,28,34,0,12,0,12,17,27,9,14
1500000US360010131001,360010131001,"Block Group 1, Census Tract 131, Albany County, New York",472,106,17,23,19,21,117,60,159,61,68,37,23,26,19,19,18,21,19,21,4,9,9,13,0,12
1500000US360010131002,360010131002,"Block Group 2, Census Tract 131, Albany County, New York",379,98,33,19,57,40,105,54,42,31,56,45,40,48,22,20,15,18,0,12,0,12,0,12,9,14
1500000US360010131003,360010131003,"Block Group 3, Census Tract 131, Albany County, New York",418,107,26,23,33,23,149,87,91,43,62,41,5,8,32,25,5,9,0,12,0,12,0,12,15,25
1500000US360010132001,360010132001,"Block Group 1, Census Tract 132, Albany County, New York",304,149,15,23,14,12,96,74,55,58,13,15,0,12,111,84,0,12,0,12,0,12,0,12,0,12
1500000US360010132002,360010132002,"Block Group 2, Census Tract 132, Albany County, New York",214,76,15,18,14,18,0,12,95,56,31,49,9,13,22,21,0,12,8,12,10,14,0,12,10,15
1500000US360010132003,360010132003,"Block Group 3, Census Tract 132, Albany County, New York",316,115,0,12,44,58,69,52,44,39,67,54,15,18,25,35,38,48,0,12,14,24,0,12,0,12
1500000US360010132004,360010132004,"Block Group 4, Census Tract 132, Albany County, New York",363,118,8,12,29,24,9,15,147,92,107,50,0,12,39,38,0,12,0,12,15,18,9,13,0,12
1500000US360010132005,360010132005,"Block Group 5, Census Tract 132, Albany County, New York",299,103,42,46,6,10,26,32,28,23,89,71,0,12,108,62,0,12,0,12,0,12,0,12,0,12
1500000US360010133001,360010133001,"Block Group 1, Census Tract 133, Albany County, New York",445,173,32,48,86,97,19,30,157,139,36,36,18,24,51,51,16,25,0,12,0,12,30,44,0,12
1500000US360010133002,360010133002,"Block Group 2, Census Tract 133, Albany County, New York",504,217,0,12,14,21,43,51,120,89,74,68,88,87,134,120,0,12,18,29,0,12,13,21,0,12
1500000US360010133003,360010133003,"Block Group 3, Census Tract 133, Albany County, New York",1067,252,11,19,166,118,178,116,215,98,164,87,57,45,116,84,73,69,20,30,20,32,19,30,28,32
1500000US360010133004,360010133004,"Block Group 4, Census Tract 133, Albany County, New York",413,148,10,16,32,46,168,86,68,50,83,49,27,46,0,12,14,22,11,17,0,12,0,12,0,12
1500000US360010134001,360010134001,"Block Group 1, Census Tract 134, Albany County, New York",306,130,0,12,12,15,70,65,65,46,126,71,10,15,16,20,3,6,4,9,0,12,0,12,0,12
1500000US360010134002,360010134002,"Block Group 2, Census Tract 134, Albany County, New York",450,146,24,26,77,67,82,48,109,56,89,69,22,25,21,26,0,12,8,13,18,29,0,12,0,12
1500000US360010134003,360010134003,"Block Group 3, Census Tract 134, Albany County, New York",480,176,0,12,70,67,88,64,110,77,68,66,25,28,109,126,0,12,0,12,0,12,0,12,10,15
1500000US360010135031,360010135031,"Block Group 1, Census Tract 135.03, Albany County, New York",580,110,0,12,36,33,146,61,125,52,134,58,48,46,40,36,19,21,0,12,11,17,21,23,0,12
1500000US360010135032,360010135032,"Block Group 2, Census Tract 135.03, Albany County, New York",609,148,49,38,23,22,37,25,159,65,150,81,47,30,49,50,9,13,75,60,11,17,0,12,0,12
1500000US360010135033,360010135033,"Block Group 3, Census Tract 135.03, Albany County, New York",1409,184,0,12,85,52,365,112,279,99,289,121,144,56,141,62,11,17,55,36,13,21,27,42,0,12
1500000US360010135051,360010135051,"Block Group 1, Census Tract 135.05, Albany County, New York",349,107,0,12,25,22,76,49,108,54,113,48,0,12,20,27,0,12,0,12,0,12,7,12,0,12
1500000US360010135052,360010135052,"Block Group 2, Census Tract 135.05, Albany County, New York",836,140,6,9,71,40,190,90,207,104,103,63,84,66,57,41,39,48,33,29,34,34,12,18,0,12
1500000US360010135061,360010135061,"Block Group 1, Census Tract 135.06, Albany County, New York",1410,290,18,18,48,38,223,138,333,114,402,297,129,71,130,93,15,19,67,77,17,27,11,15,17,22
1500000US360010135062,360010135062,"Block Group 2, Census Tract 135.06, Albany County, New York",817,213,24,29,124,85,106,61,178,91,222,91,26,28,67,53,32,38,10,16,0,12,28,33,0,12
1500000US360010135063,360010135063,"Block Group 3, Census Tract 135.06, Albany County, New York",909,176,47,49,54,46,223,118,184,102,112,62,98,79,37,33,0,12,25,31,19,29,110,84,0,12
1500000US360010135071,360010135071,"Block Group 1, Census Tract 135.07, Albany County, New York",1243,191,31,40,252,102,131,85,289,117,408,147,44,43,74,48,0,12,0,12,7,14,0,12,7,11
1500000US360010135072,360010135072,"Block Group 2, Census Tract 135.07, Albany County, New York",362,179,0,12,13,19,94,87,91,72,104,79,0,12,9,12,14,21,0,12,0,12,37,57,0,12
1500000US360010135081,360010135081,"Block Group 1, Census Tract 135.08, Albany County, New York",1013,221,0,12,132,113,124,76,230,111,232,105,111,65,43,43,25,40,44,54,0,12,29,36,43,48
1500000US360010135082,360010135082,"Block Group 2, Census Tract 135.08, Albany County, New York",940,268,22,34,11,18,200,93,147,70,250,105,95,82,108,68,0,12,18,22,42,39,47,74,0,12
1500000US360010135083,360010135083,"Block Group 3, Census Tract 135.08, Albany County, New York",1652,323,13,22,196,162,336,161,501,177,408,154,136,79,62,57,0,12,0,12,0,12,0,12,0,12
1500000US360010136011,360010136011,"Block Group 1, Census Tract 136.01, Albany County, New York",734,186,0,12,57,55,191,81,160,92,153,98,15,25,97,86,0,12,0,12,0,12,61,75,0,12
1500000US360010136012,360010136012,"Block Group 2, Census Tract 136.01, Albany County, New York",742,200,9,16,62,60,203,130,210,104,154,103,0,12,68,54,0,12,15,23,21,33,0,12,0,12
1500000US360010136013,360010136013,"Block Group 3, Census Tract 136.01, Albany County, New York",1002,265,91,74,102,91,140,104,378,135,166,114,34,41,75,75,0,12,0,12,0,12,0,12,16,25
1500000US360010136014,360010136014,"Block Group 4, Census Tract 136.01, Albany County, New York",1126,238,75,51,157,63,263,117,230,142,283,126,4,11,43,46,7,15,0,12,19,23,0,12,45,36
1500000US360010136015,360010136015,"Block Group 5, Census Tract 136.01, Albany County, New York",984,306,0,12,16,24,162,117,255,147,224,137,129,97,83,66,16,28,0,12,32,37,44,68,23,39
1500000US360010136021,360010136021,"Block Group 1, Census Tract 136.02, Albany County, New York",606,180,12,20,65,67,136,83,111,77,156,84,19,25,71,53,0,12,0,12,27,31,9,19,0,12
1500000US360010136022,360010136022,"Block Group 2, Census Tract 136.02, Albany County, New York",640,190,61,60,72,59,154,74,179,82,110,67,0,12,64,79,0,12,0,12,0,12,0,12,0,12
1500000US360010136023,360010136023,"Block Group 3, Census Tract 136.02, Albany County, New York",1039,261,14,23,102,113,216,117,350,141,93,64,155,117,12,20,0,12,47,57,50,75,0,12,0,12
1500000US360010137031,360010137031,"Block Group 1, Census Tract 137.03, Albany County, New York",736,127,19,21,117,66,158,114,108,43,118,53,59,36,67,31,5,8,0,12,21,28,41,31,23,23
1500000US360010137051,360010137051,"Block Group 1, Census Tract 137.05, Albany County, New York",642,185,0,12,114,63,145,92,166,86,39,35,17,27,64,53,42,69,0,12,31,35,24,37,0,12
1500000US360010137052,360010137052,"Block Group 2, Census Tract 137.05, Albany County, New York",938,221,18,28,126,102,153,104,257,135,142,86,74,50,140,94,0,12,0,12,0,12,28,36,0,12
1500000US360010137053,360010137053,"Block Group 3, Census Tract 137.05, Albany County, New York",686,210,16,24,83,80,185,82,234,127,101,91,30,33,15,23,0,12,0,12,0,12,22,34,0,12
1500000US360010137054,360010137054,"Block Group 4, Census Tract 137.05, Albany County, New York",641,165,0,12,57,43,201,81,209,80,77,56,27,44,16,26,0,12,18,29,19,33,17,26,0,12
1500000US360010137061,360010137061,"Block Group 1, Census Tract 137.06, Albany County, New York",1021,90,65,48,167,71,364,69,193,71,62,39,47,35,88,60,0,12,0,12,5,7,17,15,13,19
1500000US360010137071,360010137071,"Block Group 1, Census Tract 137.07, Albany County, New York",1150,252,46,46,224,114,257,128,172,85,197,94,49,51,151,106,0,12,15,22,11,18,28,50,0,12
